task_id,task_type,model_name,evaluator,Fluency,Coherence,Conciseness,Accuracy,Constructiveness,Final choice,Motivational tone,Sentiment match
A7,Summarise,DeepSeek,A_V2,0,0,0.3333333333,0,0,0.3333333333,0.3333333333,0
A7,Summarise,Flash,A_V2,0.3333333333,0.3333333333,0,0.5,0.3333333333,1,0,0.3333333333
A7,Summarise,Gemini,A_V2,1,0.6666666667,1,0,1,0.6666666667,1,0.6666666667
A7,Summarise,Qwen,A_V2,0.6666666667,1,0.6666666667,1,0.6666666667,0,0.6666666667,1
A8,Summarise,DeepSeek,A_V3,0,0,1,0,0,0,0.6666666667,0
A8,Summarise,Flash,A_V3,1,0.6666666667,0.3333333333,0,1,1,0,0.3333333333
A8,Summarise,Gemini,A_V3,0.6666666667,0.3333333333,0,0,0.3333333333,0.3333333333,0.3333333333,1
A8,Summarise,Qwen,A_V3,0.3333333333,1,0.6666666667,1,0.6666666667,0.6666666667,1,0.6666666667
A8,Summarise,DeepSeek,A_V4,0,0,1,0,0,0,1,0
A8,Summarise,Flash,A_V4,0.6666666667,0.6666666667,0,0,1,1,0,0.3333333333
A8,Summarise,Gemini,A_V4,1,0.3333333333,0.3333333333,0,0.3333333333,0.3333333333,0.3333333333,1
A8,Summarise,Qwen,A_V4,0.3333333333,1,0.6666666667,1,0.6666666667,0.6666666667,0.6666666667,0.6666666667
A9,Summarise,DeepSeek,A_V1,0,0.3333333333,1,0,0.3333333333,0,0.3333333333,0
A9,Summarise,Flash,A_V1,0.3333333333,0,0,0,0,0.3333333333,0,0.3333333333
A9,Summarise,Gemini,A_V1,1,0.6666666667,0.6666666667,0,1,1,1,0.6666666667
A9,Summarise,Qwen,A_V1,0.6666666667,1,0.3333333333,1,0.6666666667,0.6666666667,0.6666666667,1
A9,Summarise,DeepSeek,A_V3,0,0,1,0,0.3333333333,0,0.3333333333,0
A9,Summarise,Flash,A_V3,0.3333333333,0.3333333333,0.3333333333,0,0,0.3333333333,0,1
A9,Summarise,Gemini,A_V3,0.6666666667,0.6666666667,0.6666666667,1,0.6666666667,0.6666666667,1,0.6666666667
A9,Summarise,Qwen,A_V3,1,1,0,0,1,1,0.6666666667,0.3333333333
A10,Summarise,DeepSeek,A_V1,0,0,0.6666666667,0,0,0,0,0
A10,Summarise,Flash,A_V1,0.6666666667,0.3333333333,0.3333333333,0,0.3333333333,0.6666666667,0.3333333333,1
A10,Summarise,Gemini,A_V1,0.3333333333,0.6666666667,1,1,0.6666666667,0.3333333333,0.6666666667,0.6666666667
A10,Summarise,Qwen,A_V1,1,1,0,0,1,1,1,0.3333333333
A10,Summarise,DeepSeek,A_V5,0,0,1,0,0,0,0,0
A10,Summarise,Flash,A_V5,0.3333333333,0.6666666667,0,0,0.3333333333,1,0.3333333333,0.6666666667
A10,Summarise,Gemini,A_V5,1,0.3333333333,0.6666666667,0,0.6666666667,0.6666666667,0.6666666667,1
A10,Summarise,Qwen,A_V5,0.6666666667,1,0.3333333333,1,1,0.3333333333,1,0.3333333333
A11,Summarise,DeepSeek,A_V4,0,0,0.6666666667,0,0,0,0,0
A11,Summarise,Flash,A_V4,0.6666666667,0.3333333333,0.3333333333,0,0.3333333333,0.3333333333,0.6666666667,0.6666666667
A11,Summarise,Gemini,A_V4,0.3333333333,0.6666666667,1,1,0.6666666667,0.6666666667,0.3333333333,0.3333333333
A11,Summarise,Qwen,A_V4,1,1,0,0,1,1,1,1
A11,Summarise,DeepSeek,A_V2,0,0,0.3333333333,0,0,0,0,0
A11,Summarise,Flash,A_V2,0.6666666667,0.6666666667,0.6666666667,0,0.6666666667,0.3333333333,0.6666666667,0.6666666667
A11,Summarise,Gemini,A_V2,0.3333333333,0.3333333333,1,1,0.3333333333,0.6666666667,0.3333333333,0.3333333333
A11,Summarise,Qwen,A_V2,1,1,0,0,1,1,1,1
A12,Summarise,DeepSeek,A_V5,0,0,1,0,0,0,0,0
A12,Summarise,Flash,A_V5,0.6666666667,0.6666666667,0.3333333333,0,0.6666666667,1,0.6666666667,0.6666666667
A12,Summarise,Gemini,A_V5,0.3333333333,0.3333333333,0.6666666667,1,0.3333333333,0.6666666667,0.3333333333,0.3333333333
A12,Summarise,Qwen,A_V5,1,1,0,0,1,0.3333333333,1,1
B7,Summarise,DeepSeek,B_V1,0,0,0.6666666667,0,0,0,0,0
B7,Summarise,Flash,B_V1,0.6666666667,0.6666666667,1,0,0.6666666667,0.6666666667,0.6666666667,0.3333333333
B7,Summarise,Gemini,B_V1,1,0.3333333333,0,0,0.3333333333,0.3333333333,0.3333333333,0.6666666667
B7,Summarise,Qwen,B_V1,0.3333333333,1,0.3333333333,1,1,1,1,1
B8,Summarise,DeepSeek,B_V5,0,0,1,0,0,0,0,0
B8,Summarise,Flash,B_V5,0.3333333333,0.6666666667,0,0.5,0.6666666667,1,0.6666666667,0.3333333333
B8,Summarise,Gemini,B_V5,1,0.3333333333,0.3333333333,0,0.3333333333,0.6666666667,0.3333333333,1
B8,Summarise,Qwen,B_V5,0.6666666667,1,0.6666666667,1,1,0.3333333333,1,0.6666666667
B9,Summarise,DeepSeek,B_V4,0,0,1,0,0,0.3333333333,1,0.6666666667
B9,Summarise,Flash,B_V4,0.6666666667,0.6666666667,0.6666666667,0,0.6666666667,1,0,0
B9,Summarise,Gemini,B_V4,1,0.3333333333,0.3333333333,0,0.3333333333,0.6666666667,0.6666666667,0.3333333333
B9,Summarise,Qwen,B_V4,0.3333333333,1,0,1,1,0,0.3333333333,1
B9,Summarise,DeepSeek,B_V2,0.3333333333,0,0.6666666667,0,0,0.6666666667,1,0.6666666667
B9,Summarise,Flash,B_V2,1,0.6666666667,1,0,0.6666666667,1,0,0.3333333333
B9,Summarise,Gemini,B_V2,0.6666666667,0.3333333333,0,0,0.3333333333,0.3333333333,0.6666666667,0
B9,Summarise,Qwen,B_V2,0,1,0.3333333333,1,1,0,0.3333333333,1
