task_criterion,n_human_raters,n_llm_raters,human_human_krippendorff_alpha,human_human_exact_agreement_pct,human_human_mean_spearman,human_human_mean_rank_distance,llm_llm_krippendorff_alpha,llm_llm_exact_agreement_pct,llm_llm_mean_spearman,llm_llm_mean_rank_distance,human_llm_krippendorff_alpha,human_llm_exact_agreement_pct,human_llm_mean_spearman,human_llm_mean_rank_distance,human_llm_cross_mean_spearman,human_llm_cross_mean_rank_distance
A10_accuracy,0,8,,,,,0.486,42.86,-0.029,0.857,,,,,,
A10_coherence,2,8,0.4,0.0,-0.2,1.5,0.957,57.14,0.914,0.214,0.8,35.56,0.6,0.567,0.1,1.125
A10_conciseness,2,8,1.0,100.0,1.0,0.0,0.693,10.71,0.386,0.893,0.729,17.78,0.458,0.778,0.55,0.625
A10_constructiveness,2,8,0.7,0.0,0.4,1.0,1.0,100.0,1.0,0.0,0.727,62.22,0.453,0.644,-0.5,1.75
A10_final,2,8,0.3,0.0,-0.4,1.5,0.829,17.86,0.657,0.607,0.771,13.33,0.542,0.722,0.4,0.875
A10_fluency,2,8,0.7,0.0,0.4,1.0,0.846,21.43,0.693,0.554,0.833,20.0,0.667,0.6,0.638,0.656
A10_motivational,2,8,1.0,100.0,1.0,0.0,0.975,75.0,0.95,0.125,0.953,53.33,0.907,0.233,0.825,0.438
A10_sentiment,2,8,0.7,0.0,0.4,1.0,0.775,14.29,0.55,0.714,0.784,15.56,0.569,0.689,0.613,0.625
A11_accuracy,0,8,,,,,1.0,100.0,1.0,0.0,,,,,,
A11_coherence,2,8,0.7,0.0,0.4,1.0,0.904,39.29,0.807,0.393,0.851,28.89,0.702,0.522,0.537,0.719
A11_conciseness,2,8,0.9,0.0,0.8,0.5,0.882,25.0,0.764,0.482,0.878,22.22,0.756,0.511,0.738,0.562
A11_constructiveness,2,8,0.5,0.0,0.0,1.5,0.839,25.0,0.679,0.571,0.787,17.78,0.573,0.711,0.425,0.906
A11_final,2,8,0.9,0.0,0.8,0.5,0.8,32.14,0.6,0.643,0.829,35.56,0.658,0.567,0.75,0.438
A11_fluency,2,8,0.6,0.0,0.2,1.0,0.704,21.43,0.407,0.839,0.691,22.22,0.382,0.844,0.35,0.844
A11_motivational,2,8,0.7,0.0,0.4,1.0,0.911,32.14,0.821,0.393,0.86,26.67,0.72,0.511,0.562,0.688
A11_sentiment,2,8,0.7,0.0,0.4,1.0,0.846,32.14,0.693,0.554,0.816,22.22,0.631,0.633,0.538,0.75
A12_accuracy,0,4,,,,,0.95,50.0,0.9,0.25,,,,,,
