task_id,task_type,model_name,evaluator,Fluency,Coherence,Conciseness,Accuracy,Constructiveness,Final choice,Motivational tone,Sentiment match
A1,Idea-to-Text,DeepSeek,A_V1,0.3333333333,1,0.3333333333,0,1,0,0.6666666667,0.3333333333
A1,Idea-to-Text,Flash,A_V1,1,0.3333333333,0,0,0.3333333333,0.6666666667,0.3333333333,0
A1,Idea-to-Text,Gemini,A_V1,0,0.6666666667,1,0,0.6666666667,0.3333333333,1,0.6666666667
A1,Idea-to-Text,Qwen,A_V1,0.6666666667,0,0.6666666667,1,0,1,0,1
A2,Idea-to-Text,DeepSeek,A_V5,0.6666666667,0.6666666667,0.6666666667,0,0.6666666667,0.3333333333,0.6666666667,0.3333333333
A2,Idea-to-Text,Flash,A_V5,0.3333333333,1,0,0,1,1,0.3333333333,0.6666666667
A2,Idea-to-Text,Gemini,A_V5,1,0,1,0.5,0.3333333333,0,1,0
A2,Idea-to-Text,Qwen,A_V5,0,0.3333333333,0.3333333333,1,0,0.6666666667,0,1
A2,Idea-to-Text,DeepSeek,A_V4,0.3333333333,0.6666666667,0.6666666667,0,0.6666666667,0.3333333333,0.3333333333,0
A2,Idea-to-Text,Flash,A_V4,1,1,0,0,1,1,1,0.6666666667
A2,Idea-to-Text,Gemini,A_V4,0,0.3333333333,1,0,0.3333333333,0,0.6666666667,0.3333333333
A2,Idea-to-Text,Qwen,A_V4,0.6666666667,0,0.3333333333,1,0,0.6666666667,0,1
A3,Idea-to-Text,DeepSeek,A_V4,0.3333333333,0.6666666667,0.3333333333,0,0.6666666667,1,1,0.3333333333
A3,Idea-to-Text,Flash,A_V4,1,1,0,0,1,0.3333333333,0.6666666667,0.6666666667
A3,Idea-to-Text,Gemini,A_V4,0,0,1,0,0,0.6666666667,0,0
A3,Idea-to-Text,Qwen,A_V4,0.6666666667,0.3333333333,0.6666666667,1,0.3333333333,0,0.3333333333,1
A3,Idea-to-Text,DeepSeek,A_V2,0.3333333333,0.3333333333,0.3333333333,0,0.6666666667,0.3333333333,1,0.3333333333
A3,Idea-to-Text,Flash,A_V2,0.6666666667,0.6666666667,0,0,1,1,0.6666666667,0.6666666667
A3,Idea-to-Text,Gemini,A_V2,0,0,1,0,0,0,0,0
A3,Idea-to-Text,Qwen,A_V2,1,1,0.6666666667,1,0.3333333333,0.6666666667,0.3333333333,1
A4,Idea-to-Text,DeepSeek,A_V5,0.6666666667,0.6666666667,0,0,1,0.3333333333,1,0
A4,Idea-to-Text,Flash,A_V5,1,0.3333333333,0.3333333333,0,0.3333333333,0.6666666667,0.3333333333,0.6666666667
A4,Idea-to-Text,Gemini,A_V5,0,0,1,0,0,0,0.6666666667,0.3333333333
A4,Idea-to-Text,Qwen,A_V5,0.3333333333,1,0.6666666667,1,0.6666666667,1,0,1
A4,Idea-to-Text,DeepSeek,A_V3,0.3333333333,0.6666666667,0.3333333333,0,0.3333333333,0,1,0.3333333333
A4,Idea-to-Text,Flash,A_V3,0.6666666667,1,0,0,0.6666666667,0.6666666667,0.6666666667,0.6666666667
A4,Idea-to-Text,Gemini,A_V3,0,0,1,0,0,0.3333333333,0,0
A4,Idea-to-Text,Qwen,A_V3,1,0.3333333333,0.6666666667,1,1,1,0.3333333333,1
A5,Idea-to-Text,DeepSeek,A_V1,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,1
A5,Idea-to-Text,Flash,A_V1,0,1,0,0.3333333333,1,1,0.3333333333,0
A5,Idea-to-Text,Gemini,A_V1,1,0,1,0,0.3333333333,0.3333333333,1,0.3333333333
A5,Idea-to-Text,Qwen,A_V1,0.3333333333,0.3333333333,0.3333333333,1,0,0,0,0.6666666667
A6,Idea-to-Text,DeepSeek,A_V3,0.3333333333,0.6666666667,0.3333333333,0,0.6666666667,0.6666666667,0.6666666667,0
A6,Idea-to-Text,Flash,A_V3,1,1,0,0,0.3333333333,0.3333333333,0.3333333333,0.6666666667
A6,Idea-to-Text,Gemini,A_V3,0,0,1,0,1,1,1,0.3333333333
A6,Idea-to-Text,Qwen,A_V3,0.6666666667,0.3333333333,0.6666666667,1,0,0,0,1
A6,Idea-to-Text,DeepSeek,A_V2,0.6666666667,0.3333333333,0.3333333333,0,0.6666666667,0.3333333333,0.6666666667,0
A6,Idea-to-Text,Flash,A_V2,1,1,0,0,0.3333333333,1,0.3333333333,0.6666666667
A6,Idea-to-Text,Gemini,A_V2,0,0,1,0,1,0,1,0.3333333333
A6,Idea-to-Text,Qwen,A_V2,0.3333333333,0.6666666667,0.6666666667,1,0,0.6666666667,0,1
B1,Idea-to-Text,DeepSeek,B_V5,0,0.6666666667,0.3333333333,0,1,0.3333333333,1,0
B1,Idea-to-Text,Flash,B_V5,1,1,0,0.6666666667,0.6666666667,1,0,0.6666666667
B1,Idea-to-Text,Gemini,B_V5,0.3333333333,0,1,0.3333333333,0,0,0.6666666667,0.3333333333
B1,Idea-to-Text,Qwen,B_V5,0.6666666667,0.3333333333,0.6666666667,1,0.3333333333,0.6666666667,0.3333333333,1
B1,Idea-to-Text,DeepSeek,B_V4,0.3333333333,1,0.3333333333,0,1,0.3333333333,1,0
B1,Idea-to-Text,Flash,B_V4,1,0.6666666667,0,0,0,0.6666666667,0,0.6666666667
