evaluator_model,rankings_file,num_questions,model_bias_Gemini,model_bias_DeepSeek,model_bias_Flash,model_bias_Qwen,monotonicity_score,variance_score,verbosity_first,verbosity_weighted,verbosity_correlation,model_bias_std,preferred_model,least_preferred_model,preference_gap,flag_mechanical_pattern,flag_low_variance,flag_strong_model_bias,flag_verbosity_long,flag_verbosity_short,flag_verbosity_bias,suspicious
DeepSeek,deepseek_idea_to_text.csv,240,2.413,2.921,2.196,2.471,0.235,1.25,0.425,0.484,-0.068,0.264,DeepSeek,Flash,0.725,False,False,False,False,False,False,False
DeepSeek,deepseek_interpret.csv,240,2.163,2.358,2.667,2.812,0.2,1.25,0.618,0.54,0.238,0.255,Qwen,Gemini,0.65,False,False,False,False,False,False,False
DeepSeek,deepseek_summarise.csv,240,2.467,1.642,2.663,3.229,0.671,1.25,0.717,0.571,0.397,0.569,Qwen,DeepSeek,1.587,False,False,True,False,False,False,True
Flash,flash_idea_to_text.csv,240,2.138,2.892,2.292,2.679,0.047,1.25,0.447,0.508,0.044,0.3,DeepSeek,Gemini,0.754,False,False,False,False,False,False,False
Flash,flash_interpret.csv,240,2.325,2.175,2.625,2.875,0.529,1.25,0.624,0.533,0.202,0.27,Qwen,DeepSeek,0.7,False,False,False,False,False,False,False
Flash,flash_summarise.csv,240,2.575,1.621,2.646,3.158,0.647,1.25,0.732,0.569,0.389,0.555,Qwen,DeepSeek,1.537,False,False,True,False,False,False,True
Gemini,gemini_idea_to_text.csv,240,2.1,2.675,2.504,2.721,-0.176,1.25,0.526,0.522,0.125,0.245,Qwen,Gemini,0.621,False,False,False,False,False,False,False
Gemini,gemini_interpret.csv,240,2.333,2.237,2.462,2.967,0.624,1.25,0.635,0.53,0.169,0.281,Qwen,DeepSeek,0.729,False,False,False,False,False,False,False
Gemini,gemini_summarise.csv,240,2.562,1.696,2.604,3.138,0.6,1.25,0.706,0.565,0.366,0.517,Qwen,DeepSeek,1.442,False,False,False,False,False,False,False
Qwen,qwen_idea_to_text.csv,240,1.788,2.633,2.663,2.917,0.365,1.25,0.562,0.547,0.251,0.426,Qwen,Gemini,1.129,False,False,False,False,False,False,False
Qwen,qwen_interpret.csv,240,2.096,2.175,2.288,3.442,0.506,1.25,0.736,0.558,0.353,0.548,Qwen,Gemini,1.346,False,False,False,False,False,False,False
Qwen,qwen_summarize.csv,240,2.513,1.608,2.513,3.367,0.776,1.25,0.779,0.584,0.462,0.622,Qwen,DeepSeek,1.758,True,False,True,False,False,False,True
