task_id,task_type,model_name,evaluator,Fluency,Coherence,Conciseness,Accuracy,Constructiveness,Final choice,Motivational tone,Sentiment match
A13,Interpret,DeepSeek,A_V4,0.3333333333,1,0.3333333333,1,1,0.6666666667,0.3333333333,0.6666666667
A13,Interpret,Flash,A_V4,0,0.3333333333,1,0,0.3333333333,0.3333333333,0.6666666667,0
A13,Interpret,Gemini,A_V4,1,0,0,0,0,0,0,1
A13,Interpret,Qwen,A_V4,0.6666666667,0.6666666667,0.6666666667,0,0.6666666667,1,1,0.3333333333
A13,Interpret,DeepSeek,A_V2,0.3333333333,1,0.3333333333,1,0.3333333333,0.3333333333,0,0
A13,Interpret,Flash,A_V2,0,0,1,0,0.6666666667,0.6666666667,0.6666666667,0.3333333333
A13,Interpret,Gemini,A_V2,0.6666666667,0.3333333333,0,0.3333333333,0,0,0.3333333333,0.6666666667
A13,Interpret,Qwen,A_V2,1,0.6666666667,0.6666666667,0.6666666667,1,1,1,1
A14,Interpret,DeepSeek,A_V3,0.6666666667,1,0.6666666667,1,0,0.3333333333,0.6666666667,0
A14,Interpret,Flash,A_V3,0,0,0.3333333333,0,1,0,0,0.6666666667
A14,Interpret,Gemini,A_V3,0.3333333333,0.3333333333,1,0,0.6666666667,1,0.3333333333,0.3333333333
A14,Interpret,Qwen,A_V3,1,0.6666666667,0,0,0.3333333333,0.6666666667,1,1
A15,Interpret,DeepSeek,A_V1,0,1,0.6666666667,1,0.6666666667,0,0.3333333333,0.3333333333
A15,Interpret,Flash,A_V1,0.6666666667,0.3333333333,0.3333333333,0,0.3333333333,0.6666666667,0.6666666667,0.6666666667
A15,Interpret,Gemini,A_V1,0.3333333333,0,1,0,0,0.3333333333,0,1
A15,Interpret,Qwen,A_V1,1,0.6666666667,0,0,1,1,1,0
A15,Interpret,DeepSeek,A_V5,0,1,0.3333333333,1,0.6666666667,0.3333333333,0.3333333333,0.3333333333
A15,Interpret,Flash,A_V5,0.6666666667,0.3333333333,1,0,0.3333333333,0.6666666667,0.6666666667,0
A15,Interpret,Gemini,A_V5,0.3333333333,0,0.6666666667,0,0,0,0,1
A15,Interpret,Qwen,A_V5,1,0.6666666667,0,0,1,1,1,0.6666666667
A16,Interpret,DeepSeek,A_V3,0,0,0.6666666667,0,0.6666666667,0.3333333333,0.3333333333,0
A16,Interpret,Flash,A_V3,0.6666666667,0.6666666667,0.3333333333,1,1,0.6666666667,0.6666666667,0.6666666667
A16,Interpret,Gemini,A_V3,0.3333333333,0.3333333333,1,0,0.3333333333,0,0,0.3333333333
A16,Interpret,Qwen,A_V3,1,1,0,0.5,0,1,1,1
A16,Interpret,DeepSeek,A_V4,0,0,0.6666666667,0,0.6666666667,0.3333333333,0.3333333333,0
A16,Interpret,Flash,A_V4,0.3333333333,0.6666666667,0.3333333333,1,0.3333333333,0.6666666667,0.6666666667,0.6666666667
A16,Interpret,Gemini,A_V4,0.6666666667,0.3333333333,1,0,0,0,0,0.3333333333
A16,Interpret,Qwen,A_V4,1,1,0,0,1,1,1,1
A17,Interpret,DeepSeek,A_V1,0,0.3333333333,0.6666666667,0,0.6666666667,0.3333333333,0.3333333333,1
A17,Interpret,Flash,A_V1,0.3333333333,0.6666666667,0,1,0.3333333333,0.6666666667,0.6666666667,0
A17,Interpret,Gemini,A_V1,1,0,1,0.5,0,0,0,0.6666666667
A17,Interpret,Qwen,A_V1,0.6666666667,1,0.3333333333,0,1,1,1,0.3333333333
A17,Interpret,DeepSeek,A_V2,0,0.3333333333,0.6666666667,0,0.6666666667,0.6666666667,0.3333333333,1
A17,Interpret,Flash,A_V2,0.3333333333,0.6666666667,0,1,0.3333333333,0,0.6666666667,0
A17,Interpret,Gemini,A_V2,1,0,1,0.5,0,0.3333333333,0,0.6666666667
A17,Interpret,Qwen,A_V2,0.6666666667,1,0.3333333333,0,1,1,1,0.3333333333
A18,Interpret,DeepSeek,A_V5,0,0,0.6666666667,0,0,0,1,0
A18,Interpret,Flash,A_V5,0.3333333333,0.6666666667,0.3333333333,1,0.3333333333,0.6666666667,0.3333333333,0.3333333333
A18,Interpret,Gemini,A_V5,1,0.3333333333,1,0,0.6666666667,0.3333333333,0,1
A18,Interpret,Qwen,A_V5,0.6666666667,1,0,0,1,1,0.6666666667,0.6666666667
B13,Interpret,DeepSeek,B_V3,0,0,0.6666666667,1,1,0.6666666667,0.3333333333,1
B13,Interpret,Flash,B_V3,0.6666666667,1,0,0,0.3333333333,1,1,0
B13,Interpret,Gemini,B_V3,0.3333333333,0.3333333333,1,0.5,0.6666666667,0,0,0.6666666667
B13,Interpret,Qwen,B_V3,1,0.6666666667,0.3333333333,0,0,0.3333333333,0.6666666667,0.3333333333
B14,Interpret,DeepSeek,B_V1,0.3333333333,0.6666666667,0.6666666667,1,0.6666666667,0,0,0
B14,Interpret,Flash,B_V1,0,0,0,0,1,0.3333333333,0.6666666667,0.3333333333
B14,Interpret,Gemini,B_V1,0.6666666667,0.3333333333,1,0,0,0.6666666667,0.3333333333,0.6666666667
B14,Interpret,Qwen,B_V1,1,1,0.3333333333,0,0.3333333333,1,1,1
B14,Interpret,DeepSeek,B_V4,0,0.3333333333,0.6666666667,1,0.6666666667,0,0,0
B14,Interpret,Flash,B_V4,0.3333333333,0,0.3333333333,0,0,0.3333333333,0.3333333333,0.3333333333
B14,Interpret,Gemini,B_V4,1,0.6666666667,1,0.5,0.3333333333,0.6666666667,0.6666666667,0.6666666667
B14,Interpret,Qwen,B_V4,0.6666666667,1,0,0,1,1,1,1
B15,Interpret,DeepSeek,B_V5,0,1,0.6666666667,1,0.6666666667,0,0,0
B15,Interpret,Flash,B_V5,0.6666666667,0,0.3333333333,0,0.3333333333,0.6666666667,0.6666666667,0.3333333333
B15,Interpret,Gemini,B_V5,0.3333333333,0.3333333333,1,0,0,0.3333333333,0.3333333333,0.6666666667
B15,Interpret,Qwen,B_V5,1,0.6666666667,0,0,1,1,1,1
